"LIBRARYREFERENCE","FOOTPRINT1","A MAX","B","CHARGE","COMMENT","CURRENT","ID","MAX IF","MAX OUTPUT CURRENT","MAX VF","PACKAGE","PART NUMBER","PARTNUMBER","POWER","RES","RESISTANCE @ 25C","RON","TOLERANCE","TRIP VALUE","VALUE","VDS MAX","VDSS","VF","VGS","VOLTAGE","VOUTPUT MAX","WATT","SHEETPART","DESIGNATOR","DESCRIPTION"
"REG_LIN_UA78M","","","","","*","","","","","","","","UA78M","","","","","","","","","","","","","","","*","U?","REG 5.3-25V 500mA Linear Regulator"
"REG_SW_RT7258GSP","8-SOIC (3.9mm W)","","","","REG_SW_RT7258GSP","","","","","","","RT7258GSP","","","","","","","","","","","","","","","","*","U?","REG 8A, 24V, 600kHz Step-Down Converter"
"REG_SW_RT8258","SOT23-6","","","","*","","","","","","","RT8258","","","","","","","","","","","","","","","","*","U?","REG 1.2A, 24V, 700kHz Step-Down Converter"
"REG_SW_RT8284N","SOP8","","","","*","","","","","","","RT8284N","","","","","","","","","","","","","","","","*","U?","REG 2A, 23V, 340kHz Synchronous Step-Down Converter"
"REG_SW_TPS62120","DRV-6","","","","*","","","","","","","TPS62120","","","","","","","","","","","","","","","","*","U?","REG 15V, 75mA, 96% efficiency Step-Down Converter with DCS-Control"
"RES_CRM1206-FX-10R0ELF?","RES_1206","","","","*","","","","","","1206","CRM1206-FX-10R0ELF?","","0.5W","","","","1%","","10R","","","","","","","","*","R?","RES 10R 1% 1/2W 1206"
"RES_ERJ-2RKF10R0X?","RES_0402","","","","*","","","","","","0402","ERJ-2RKF10R0X?","","0.1W","","","","1%","","10R","","","","","","","","*","R?","RES 10R 1% 1/10W 0402"
"RES_MCS04020C4703FE000?","RES_0402","","","","*","","","","","","0402","MCS04020C4703FE000?","","0.1W","","","","1%","","470K","","","","","","","","*","R?","RES 470K 1% 1/10W 0402"
"RES_RC0402FR-07430KL?","RES_0402","","","","*","","","","","","0402","RC0402FR-07430KL?","","0.0625W","","","","1%","","430K","","","","","","","","*","R?","RES 430K 1% 1/16W 0402"
"RES_TH_NCP21XV103J03RA","RES_0805","","3924","","RES_TH_NCP21XV103J03RA","","","","","","0805","SHYLPCKB","","","","10K","","","","","","","","","","","","*","TH?","Thermistor 10K - 0805"
"RES_? RC0805FR-0713KL","RES_0805","","","","*","","","","","","0805","RC0805FR-0713KL","","0.125W","","","","1%","","13K","","","","","","","","*","R?","RES 13K 1% 1/8W 0805"
"RES_?ERJ-6ENF2152V","RES_0805","","","","*","","","","","","0805","?ERJ-6ENF2152V","","0.125W","","","","1%","","21.5K","","","","","","","","*","R?","RES 21.5K 1% 1/8W 0805"
